job_title,Company,Company_Location,Post On,Job_link
Data Analyst,Noon - The Social Learning Platform,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-at-noon-the-social-learning-platform-3522110052?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=hVN7%2Fl07dmWF%2F4O4SIZqAw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Jobs in Islamabad,CareerMatch,"Islamabad, Islāmābād, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/data-analyst-jobs-in-islamabad-at-careermatch-3528655700?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=3fMgcexKcJA2aI%2FpvyV5vw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst,ibex. Pakistan,"Karāchi, Sindh, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/data-reporting-analyst-at-ibex-pakistan-3522613695?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=ql23ZfpEdvOuS%2FHL4kJbgw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Jobs in Lahore,CareerMatch,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/data-analyst-jobs-in-lahore-at-careermatch-3528656710?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=Xr9v11AAJwsFaRg4DhpJmQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Sc4561,Nisum,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/data-analyst-sc4561-at-nisum-3525826587?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=Yl%2Fvn4sZxHzdI%2BLqJr%2BRPA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Idara e Taleem o Aagahi,"Karāchi, Sindh, Pakistan",6 days ago,https://pk.linkedin.com/jobs/view/data-analyst-at-idara-e-taleem-o-aagahi-3522849169?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=7LVT%2BaFTrqifUCeanepOpQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,IQVIA,"Karāchi, Sindh, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-at-iqvia-3521762896?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=ab0mhIG8frD0vtPqTHv%2F8Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Operations Specialist - Data Analyst,Zones IT Solutions,"Islamabad, Islāmābād, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/operations-specialist-data-analyst-at-zones-it-solutions-3477459990?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=rELq57ySKOWw0RnVR56aOA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Manager,Noon - The Social Learning Platform,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-manager-at-noon-the-social-learning-platform-3518351609?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=ugZlgFMIm5SA8ZOua1ORMg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Faisalabad, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518335626?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=TUebWsmoZboByAkf5Ozsew%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Shekhūpura, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518334857?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=9qT0gDYDstoVgnObeP37Sg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Analyst Jobs in Lahore,CareerMatch,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/senior-data-analyst-jobs-in-lahore-at-careermatch-3528661026?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=bh9dPl3x4hjza59gN5g3xg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Islamabad, Islāmābād, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518337095?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=NPWbOJaELXDgJHoQP%2BuFNQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Lahore, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518329916?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=1qrI%2FscVhvN%2FW6j1BbdSFA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Principal Data Analyst,Zones IT Solutions,"Islamabad, Islāmābād, Pakistan",2 hours ago,https://pk.linkedin.com/jobs/view/principal-data-analyst-at-zones-it-solutions-3472408887?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=g45NnLZuZKGylh8BHjw7hQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
